,utterance_id,gender,age,speaker_id,expression,manual_transcription,discrete_emotion_collection_phase,discrete_emotion_annotation_phase,valence_annotation_phase,arousal_annotation_phase,split,path,target
28,195,f,adult,48,real,PA DOBRO JA SAM SAD SJELA I SAD SE NE MISLIM ODMAH DIGNUT,anger,anger,3.486150508,4.380939893,train,cres_v2.1/audio_files_16000/195.wav,anger
29,991,m,adult,231,acted,MA DO KOJIH VRATA IDH UDH PA S TI NORMALNA JEBOTE MORAMO ONDA ß UDH PROĆ KRAJ ONOG MAJMUNA S PUŠKOM,fear,fear,1.911677999,8.097449515,train,cres_v2.1/audio_files_16000/991.wav,fear
30,228,f,adult,55,real,SE ODLUČI ŠTA ŽELIŠ JEL ŽELIŠ IĆ DOMA IL ŽELIŠ OSTAT,anger,anger,4.239988647,6.520354713,train,cres_v2.1/audio_files_16000/228.wav,anger
31,643,f,adult,196,acted,IDH UDH BOŽE MOJ LUDOG LI DJETETA TI MISLIŠ DA IZNAD NAŠE VOLJE NE POSTOJI NIŠTA NA OVOM SVIJETU DA SVE MORA BITI ONAKO KAO ŠTO MI ŽELIMO NIJE TAKO ZNAŠ I SAMA DA NIJE TAKO,sadness,sadness,3.511544953,3.916048786,train,cres_v2.1/audio_files_16000/643.wav,sadness
32,229,f,adult,55,real,JEL VOLIŠ SEBE IL NE VOLIŠ SEBE JEL VOLIŠ ANTONIJA IL NE VOLIŠ ANTONIJA,anger,anger,3.905242825,6.173339351,train,cres_v2.1/audio_files_16000/229.wav,anger
33,751,m,adult,245,acted,JA NE IDEM U DJEČJU SOBU NEMA ŠANSE,fear,fear,1.67172411,8.278712496,train,cres_v2.1/audio_files_16000/751.wav,fear
34,491,f,adult,145,acted,KURAC JE DOBAR,happiness,anger,5.117413765,5.979000415,train,cres_v2.1/audio_files_16000/491.wav,anger
35,349,f,adult,97,acted,NAŠA MAJA TE MRZI IZ DNA DUŠE ALI ŠTA ĆE SE SKIRAT ZBOG TOGA NISI NI TI VOLIO SVOG TATU PUSTI BIT ĆE CURA DOBRA,neutral,neutral,3.912661726,2.79780736,train,cres_v2.1/audio_files_16000/349.wav,neutral
36,334,f,adult,90,real,NEKAD SE POSVAĐA NEKAD SE POMIRI NEKAD DOBRO NEKAD LOŠO AL SVE U SVEMU KAD SASTAVIMO DOBRO JE,neutral,neutral,5.457808067,3.373917125,train,cres_v2.1/audio_files_16000/334.wav,neutral
37,241,f,adult,55,real,OVAJ ZOVE PLAČE VOLIM TE OVAJ ISTO TO OVAJ SERE PO OVOM UDH JA KAŽEM DAJ OKANITE ME SE OBADVOJICA,anger,neutral,3.596713296,4.793808446,train,cres_v2.1/audio_files_16000/241.wav,neutral
38,1010,m,adult,291,acted,NEMAM POJMA IDH UDH IDH UDH NEŠTO NIJE U REDU,fear,fear,3.258100031,6.765290381,train,cres_v2.1/audio_files_16000/1010.wav,fear
39,286,f,adolescent,61,acted,KRAVO GLUPA SAMO NA SEBE MISLIŠ DAJ ZOVI HITNU BRZO,anger,anger,2.265482294,8.332472265,train,cres_v2.1/audio_files_16000/286.wav,anger
40,938,f,adult,267,real,JEZIVO ß DECU NISAM TRI MESECA VIDELA,sadness,sadness,1.505664619,6.492543841,train,cres_v2.1/audio_files_16000/938.wav,sadness
41,335,f,adult,91,real,TO NIJE PRIHVATLJIVO RJEŠENJE OVAJ PRAVILNIK UDH ß KOLIKO SAM JA RAZUMIJELA NITI TO NE DOZVOLJAVA NEGO ß ODLUKA JE NA RAZINI ŽUPANIJE A NE U PREMA AUTONOMIJI SVAKE ŠKOLE,neutral,neutral,4.316039139,4.011073803,train,cres_v2.1/audio_files_16000/335.wav,neutral
42,625,f,adult,188,acted,KAKAV SPROVOD MAMA,sadness,sadness,2.234421887,5.712604945,train,cres_v2.1/audio_files_16000/625.wav,sadness
43,886,m,adult,170,acted,POSTOJI LI VEĆ METAK ZASTAJK KOJI ĆE PROSVIRATI MOJU GLAVU,sadness,sadness,3.078467152,4.323986435,train,cres_v2.1/audio_files_16000/886.wav,sadness
44,508,m,adult,152,acted,IZH UDH IZH UDH IZH UDH DOBRO JE IZH UDH IZH UDH SRP I ČEKIĆ,fear,fear,2.185435103,8.003218016,train,cres_v2.1/audio_files_16000/508.wav,fear
45,985,m,adult,231,acted,ČEKAJ ČEKAJ BOLAN PA NE MOŠ ME SAMOG OSTAVIT,fear,fear,2.979537177,7.761377929,train,cres_v2.1/audio_files_16000/985.wav,fear
46,344,f,adult,95,acted,ZNAM DA U SRCU NJENOM I STRAH JE I TUGA BAŠ KAO I TVOME,neutral,neutral,5.587695698,1.399252522,train,cres_v2.1/audio_files_16000/344.wav,neutral
47,1098,f,adult,317,real,I BUDE SE NA TEMPERATURI VODE OD TRIDESET ČETRI STUPNJEVA,neutral,neutral,5.796367111,3.640234664,train,cres_v2.1/audio_files_16000/1098.wav,neutral
48,718,m,adult,227,acted,TEBI HVALA I ZASTAJK MISLI SAD NA SEBE,fear,sadness,4.824156788,3.897453565,train,cres_v2.1/audio_files_16000/718.wav,sadness
49,455,f,adult,139,real,ZAGRLI GA NOGAMA OKO STRUKA,happiness,happiness,7.699966827,6.380790422,train,cres_v2.1/audio_files_16000/455.wav,happiness
50,573,m,adult,177,acted,JER HRVATSKU MI MOJU OBJESIŠE KO LOPOVA UDH DOK NJENO IME BRIŠE,sadness,sadness,3.084351685,5.494843626,train,cres_v2.1/audio_files_16000/573.wav,sadness
51,982,m,adult,231,acted,NEMOJ NEMOOOJ ČOVJEČE NEMOJ,fear,fear,1.018415081,8.882767693,train,cres_v2.1/audio_files_16000/982.wav,fear
52,621,f,adult,186,real,VOLIM TE NAJVIŠE I UZ TEBE SAM,sadness,sadness,2.529129851,8.016101583,train,cres_v2.1/audio_files_16000/621.wav,sadness
53,55,m,adult,21,real,SHVAĆAŠ ME ŠTA DA ONA RADI,anger,anger,3.136085748,7.697441723,train,cres_v2.1/audio_files_16000/55.wav,anger
54,924,m,adult,262,acted,AJME ŠTA S TI LIPE RUŽE,happiness,happiness,6.971615069,4.7533235,train,cres_v2.1/audio_files_16000/924.wav,happiness
55,363,m,adult,105,acted,HOHOHOHO HO ŠTO JE PARIPOVIĆI MUDA LADITE HA,happiness,happiness,6.64725782,5.411769042,train,cres_v2.1/audio_files_16000/363.wav,happiness
56,174,f,adult,38,real,KUŽIŠ,anger,anger,4.92016149,7.552267887,train,cres_v2.1/audio_files_16000/174.wav,anger
57,570,m,adult,175,real,UDH TEŠKO JE BITI BEZ BILO KOJEG RODITELJA BILO OCA BILO MAJKE UDH I ZATO MOJA PORUKA UDH SVIM LJUDIMA UŽIVAJTE U SVOJIM OČEVIMA U SVOJIM MAJKAMA UDH JER KAD IDH ODU OČEVI KAD ODU MAJKE NIKAD SE VIŠE VRATIT NEĆE A TO JE SAMO ONO ŠTO MOŽETE UŽIVATI JEDANPUT SMRC UDH MOJ OTAC JE OTIŠAO DOSTOJANSTVENO NENADANO I POLAKO,sadness,sadness,1.801309121,6.060577205,train,cres_v2.1/audio_files_16000/570.wav,sadness
58,219,f,adult,52,real,SAD SMO DOŠLI DO GRANICE BEZOBRAZLUKA,anger,anger,3.078815005,6.738857382,train,cres_v2.1/audio_files_16000/219.wav,anger
59,328,f,adult,86,real,ODNOSNO NE SPAJA OVE DANE NEGO SE RADI ŠTO JE NA NEKI NAČIN I DOBRO S OBZIROM DA TO POKAZUJE DA IMA POSLA ,neutral,neutral,5.955255673,3.232114212,train,cres_v2.1/audio_files_16000/328.wav,neutral
60,353,m,adult,98,real,VRIJEME JE KOMUNIKACIJE S VANJSKIM SVIJETOM KAD IZAĐEŠ ISPOVJEDAONICE KROZ TAJNA VRATA UĐI U HODNIK POZVONI NA ZVONCE CRVENE SOBE UĐI U SOBU U SOBI TE ČEKA PISMO S DALJNIM UPUTAMA BIG BRADER,happiness,happiness,7.121614616,6.635644437,train,cres_v2.1/audio_files_16000/353.wav,happiness
61,290,m,adult,64,real,TO VAM UKLJUČUJE PANCERICE I ŠTAPOVE NE UDH I TO VAM JE JOŠ I KACIGA,neutral,neutral,5.902894179,2.925902491,train,cres_v2.1/audio_files_16000/290.wav,neutral
62,610,f,adult,186,real,VOLIM TE NAJVIŠE UZ TEBE SAM,sadness,sadness,2.874278765,8.254824698,train,cres_v2.1/audio_files_16000/610.wav,sadness
63,388,m,adult,117,real,OČČČI OTVORI,happiness,sadness,4.956086702,7.971363124,train,cres_v2.1/audio_files_16000/388.wav,sadness
64,597,m,adult,185,acted,GAZDA MENE GRDIT STANE I BATINOM OVOLIKOM JOŠ VEĆOM POTJERA ME OTJERA ME,sadness,sadness,1.998106157,6.545784421,train,cres_v2.1/audio_files_16000/597.wav,sadness
65,773,m,adult,248,acted,JA SAM TI KOMPA TVOJ NAJBOLJI FREND NISAM TI VAŽAN,fear,sadness,4.04194327,6.212846473,train,cres_v2.1/audio_files_16000/773.wav,sadness
66,528,f,adult,167,real,MLADO TREBA POSUŠIT,fear,fear,4.693104672,6.077567943,train,cres_v2.1/audio_files_16000/528.wav,fear
67,482,f,child,144,acted,PROZOR SVE SAMI ŠEĆERIĆI,happiness,happiness,7.672155184,7.686082133,train,cres_v2.1/audio_files_16000/482.wav,happiness
68,160,f,adult,32,real,TO JE ČOVJEK S KIM MOŽEŠ KOME NEŠTO MOŽEŠ OBJASNIT A TEBI NIKO NIŠTA NE MOŽE OBJASNIT,anger,anger,2.780747286,7.532009546,train,cres_v2.1/audio_files_16000/160.wav,anger
69,875,m,adult,292,acted,JES ME ZASTAJ ZA OTO POSLO U LOGOR A CMIZDR JE ZA OTO KOLA I NE DAM PAPUGU ZARADIT,sadness,sadness,1.694545342,8.067166728,train,cres_v2.1/audio_files_16000/875.wav,sadness
70,673,f,adult,204,acted,BILO MI JE TEŠKO KAD SI OTIŠAO U AMERIKU PLAKALA SAM MJESECIMA,sadness,sadness,2.719801423,3.867064147,train,cres_v2.1/audio_files_16000/673.wav,sadness
71,683,m,adult,208,real,ZA ONE KOJI VJERUJU U ATLANTIDU NEMA BOLJEG DOKAZA OD ZADIVLJUJUĆIH SPOMENIKA U DREVNOM EGIPTU,neutral,neutral,6.515230694,4.441826793,train,cres_v2.1/audio_files_16000/683.wav,neutral
72,124,m,adult,31,acted,ISPOVID TI NE VRIDI NAŠ NEGO AJDE U KUPINE ŽUPNIKU PA SE NJEMU ISPOVIDI S OVIM NEMAN NIKAKVE VEZE,anger,anger,2.431327215,8.188384368,train,cres_v2.1/audio_files_16000/124.wav,anger
73,859,f,adult,284,acted,NE ZNAM TO ZASTAJK DA SU ONI IZNAJMILI KURVU DA NAS RAZDVOJE MENI JE TO NAJJADNIJA PRIČA KOJU SAM JA ČULA U ŽIVOTU,sadness,sadness,1.562443887,5.362346663,train,cres_v2.1/audio_files_16000/859.wav,sadness
74,103,m,adult,28,real,OVO JE SAD BILO BEZOBRAZNO,anger,anger,3.06887215,8.190691074,train,cres_v2.1/audio_files_16000/103.wav,anger
75,713,m,adult,224,acted,GOSPODINE PODNAREDNIČE MOLIM VAS KO ŠTO SE BOGA MOLI PA VI ZNATE MENE JA SAM UVIJEK DAVO DAVAT ĆU JA OPET ENO U ŠTALI TELE ENO U KOCU SVINJČE VOZITE SVE SKUPA NE SLUŠAJTE ŠTO DIVANI TO BLESAVO MLADO,fear,fear,3.436515501,6.717754664,train,cres_v2.1/audio_files_16000/713.wav,fear
76,603,f,adult,186,real,ON VIŠE NE MISLI NA TEBE,sadness,sadness,2.257609831,6.331921684,train,cres_v2.1/audio_files_16000/603.wav,sadness
77,306,m,adult,77,real,ZAHVALJUJUĆI FEMINIZMU ŽENE SU STEKLE RAVNOPRAVNOST PRED ZAKONOM PRAVO GLASA UDH PRAVO NA SUDJELOVANJE U JAVNOM ŽIVOTU UDH A POSTIGNUT JE I ODREĐEN NAPREDAK PREMA JEDNAKOSTI PLAĆA,neutral,neutral,5.520220764,3.403624396,train,cres_v2.1/audio_files_16000/306.wav,neutral
78,169,f,adult,37,real,TI SI SE U PAR NAVRATA ZADERA ONO TRI PUTA ČETRI,anger,anger,3.065768391,7.238958509,train,cres_v2.1/audio_files_16000/169.wav,anger
79,984,m,adult,231,acted,DI DA SE VRATIM ß JES TI NORMALNA JA SE TAMO NE VRAĆAM ŠTA TI JE,fear,fear,2.680452235,7.356958442,train,cres_v2.1/audio_files_16000/984.wav,fear
80,155,m,adult,31,acted,A I IMA VELIKI KURAC JEL DA,anger,anger,4.271233851,5.697161684,train,cres_v2.1/audio_files_16000/155.wav,anger
81,217,f,adult,51,real,NAJNEGATIVNIJA OSOBA U FARMI,anger,anger,3.361065811,7.134580283,train,cres_v2.1/audio_files_16000/217.wav,anger
82,453,f,adult,139,real,I MISLIM SE ISUSE BOŽE ZAR JE MENI TO TOLKO NEBITNO HAHA,happiness,happiness,5.378496607,6.126764945,train,cres_v2.1/audio_files_16000/453.wav,happiness
83,56,m,adult,21,real,DA ONA FALSIFICIRA UDH JA SAM SE OSUPNUO,anger,anger,2.948792439,7.57260894,train,cres_v2.1/audio_files_16000/56.wav,anger
84,1063,m,adult,305,acted,S NAMA ĆE BITI GRADONAČELNIK SINKOVIĆ I NJEGOVA SUPRUGA,neutral,neutral,5.89287323,3.42454526,train,cres_v2.1/audio_files_16000/1063.wav,neutral
85,726,m,adult,234,acted,MISLIM DA SAM I JA NETKO OD TVOJIH,fear,sadness,4.140691805,6.642131361,train,cres_v2.1/audio_files_16000/726.wav,sadness
86,615,f,adult,186,real,NEMOJ NIČEGA DA TI BUDE ŽAO SAMO NASTAVI TAKO SVI SMO UZ TEBE I SVI TE VOLIMO NAJDRAŽA NAŠA,sadness,sadness,2.906678912,7.59488932,train,cres_v2.1/audio_files_16000/615.wav,sadness
87,554,f,child,172,acted,NEMOJTE GA ZATVORITI MOLIM VAS IVICE BRATE MOJ JAO,fear,fear,2.217182726,8.458920321,train,cres_v2.1/audio_files_16000/554.wav,fear
88,802,m,adult,266,acted,DER ĆAO DOMAĆINEE SVATOVI SU STIGLI NAMEŠTAJ OPREMAJ MLADOŽENJE SU NA NOGAMA,happiness,happiness,6.837531053,8.379315041,train,cres_v2.1/audio_files_16000/802.wav,happiness
89,238,f,adult,55,real,TI MENI GOVORIŠ JA PUCAM A JEDNOM SAM TI SAD OVO REKLA FAKAT MI SMETA,anger,anger,2.968354199,7.721416953,train,cres_v2.1/audio_files_16000/238.wav,anger
90,786,f,adult,253,acted,MAMIN IMPOTENTNI KRETEN IDH HAHA HAHA UDH UDH,happiness,happiness,5.441320143,6.509370834,train,cres_v2.1/audio_files_16000/786.wav,happiness
91,833,m,adult,268,acted,A NOGA BOGA TI BOGOVSKOG KO DER GROM ISKRA VRCA IZ PLOČNIKA KO NAPARATOM PRVOG DECEMBRA,happiness,happiness,6.692118501,6.726023815,train,cres_v2.1/audio_files_16000/833.wav,happiness
92,1056,m,adult,304,real,ZNANSTVENICI I SUPER RAČUNALA PRIMJENJUJU ČVRSTE PODATKE KAKO BI STVORILI SIMULIRANI VELIKI POTRES,neutral,neutral,6.472104087,3.377698644,train,cres_v2.1/audio_files_16000/1056.wav,neutral
93,569,f,child,174,acted,JAO MENI KAKO SAM MOGLA VJEROVATI SAMO,fear,sadness,3.619047723,6.900388858,train,cres_v2.1/audio_files_16000/569.wav,sadness
94,770,m,adult,250,acted,SSSIGURNO JE NEŠTO S ULAZNIM VENTILOM,fear,fear,3.448536767,6.204241938,train,cres_v2.1/audio_files_16000/770.wav,fear
95,172,f,adult,37,real,JER JA NISAM ODE SMEĆE EJ,anger,anger,3.303819117,7.507964769,train,cres_v2.1/audio_files_16000/172.wav,anger
96,85,m,adult,26,real,ONDA DOĐEŠ I PITAŠ,anger,anger,4.433927511,6.797078761,train,cres_v2.1/audio_files_16000/85.wav,anger
97,209,f,adult,50,real,ČUJEM TE,anger,anger,3.251919218,5.327535993,train,cres_v2.1/audio_files_16000/209.wav,anger
98,998,m,adult,231,acted,ŠUMA PLAČE ß IDH UDH ŠUMA PLAČE ß IDH UDH ZA NAŠIM ß PROKLETIM DUŠAMA,sadness,sadness,2.401697654,4.492151045,train,cres_v2.1/audio_files_16000/998.wav,sadness
99,426,f,adult,133,real,HAHA NA SVOJU PARTILJU,happiness,happiness,6.791357001,5.09957112,train,cres_v2.1/audio_files_16000/426.wav,happiness
100,960,f,adult,280,real,NISAM ZNALA S KOJE STRANE ĆE DOĆI I DA LI JE ŽIV A JAVLJALI SU KAKO MASAKRIRAJU VOJSKU PA SAM SE BOJALA ZA NJEGA,sadness,sadness,1.067528255,8.745424129,train,cres_v2.1/audio_files_16000/960.wav,sadness
101,623,f,adult,186,real,NEMOJ NIČEGA DA TI BUDE ŽAO SAMO NASTAVI TAKO SVI SMO UZ TEBE I SVI TE VOLIMO NAJDRAŽA NAŠA,sadness,sadness,4.400351581,6.521449481,train,cres_v2.1/audio_files_16000/623.wav,sadness
102,586,m,adult,183,real,TO JE BILO TTTEŠKO,sadness,sadness,2.876424469,5.091185516,train,cres_v2.1/audio_files_16000/586.wav,sadness
103,776,m,adult,248,acted,OVO JE SLIJEPA ULICA,fear,fear,2.712063937,7.991544617,train,cres_v2.1/audio_files_16000/776.wav,fear
104,1071,m,adult,311,acted,NE BRINITE SE BIT ĆE TO U REDU ZA KOJI DAN,neutral,neutral,5.195363266,2.893559612,train,cres_v2.1/audio_files_16000/1071.wav,neutral
105,1111,m,adult,322,real,PUNO JE MANJE ONO JE ČETVRTINA,neutral,neutral,6.105656658,3.839447495,train,cres_v2.1/audio_files_16000/1111.wav,neutral
106,275,f,adult,60,acted,IDIOTI POLA ČETRI JE,anger,anger,3.922637,4.933610976,train,cres_v2.1/audio_files_16000/275.wav,anger
107,937,f,adult,266,real,ČUJTE MI SMO SVI PROŠLI JEDAN PAKAO I ß NE MORAM U DETALJE,sadness,sadness,2.264460332,6.378952255,train,cres_v2.1/audio_files_16000/937.wav,sadness
108,1014,m,adult,292,acted,DAJ ČEKAJ ß TI MISLIŠ DA ĆE ON SAD NA NAS KRENUT,fear,fear,4.107353201,6.011163528,train,cres_v2.1/audio_files_16000/1014.wav,fear
109,216,f,adult,51,real,DVOLIČNA SI JEDNA OBIČNA PRASICA DVOLIČNA AE,anger,anger,2.636615945,7.113197267,train,cres_v2.1/audio_files_16000/216.wav,anger
110,898,f,adult,300,acted,CMIZDR HA HA STANISLAV STANISLAV TI SI ŽIV,sadness,fear,4.285478626,7.922530567,train,cres_v2.1/audio_files_16000/898.wav,fear
111,903,f,adult,302,acted,CRNI NE ZNAM KAKO DA TI OBJASNIM CIJELU SITUACIJU ZASTAJK UDH VOLIM TE JOŠ UVIJEK ZASTAJK STVARNO TE VO,sadness,fear,2.979374702,6.954466482,train,cres_v2.1/audio_files_16000/903.wav,fear
112,134,m,adult,31,acted,DAJ ME PUSTITE NA MIRU JA JESAM GLUP ALI ZNAM DA MI JE TATA MRTAV,anger,anger,1.915579473,7.646856856,train,cres_v2.1/audio_files_16000/134.wav,anger
113,179,f,adult,41,acted,JOJ NEMOJ MI SE NA DJECU IZVLAČIT BUDI SRETNA DA TI NISAM LUPILA KAMATE,anger,anger,2.741547278,7.368631349,train,cres_v2.1/audio_files_16000/179.wav,anger
114,206,f,adult,50,real,ISPALO TI DA ZNAŠ ZAŠTO JER SAM JA,anger,neutral,4.77227576,5.914380848,train,cres_v2.1/audio_files_16000/206.wav,neutral
115,236,f,adult,55,real,A SUPER ZATO ŠTO SAM JA TO REKLA DA JE NE REKO NETKO DRUGI NEBIH NIŠ,anger,anger,3.430202439,6.700181525,train,cres_v2.1/audio_files_16000/236.wav,anger
116,571,m,adult,175,acted,JADNICA PODLETILA JE POD VLAK,sadness,sadness,2.917081392,3.920061486,train,cres_v2.1/audio_files_16000/571.wav,sadness
117,659,f,adult,199,real,NE MOGU RAZMIŠLJAT EVO BUDEMO,sadness,sadness,1.901950657,7.910466243,train,cres_v2.1/audio_files_16000/659.wav,sadness
118,40,m,adult,20,acted,A BOLI ME KURAC I ZA JASNU I ZA PERU I ZA MAGAZIN KAJ ĆU TAM,anger,anger,2.898181346,6.439209857,train,cres_v2.1/audio_files_16000/40.wav,anger
119,1099,f,adult,317,real,ONDA JE POŽELJNO PONOVITI TRETMAN NAKON NEKOG PERIODA,neutral,neutral,5.801472757,3.074086907,train,cres_v2.1/audio_files_16000/1099.wav,neutral
120,231,f,adult,55,real,ISUSE ZNALO SE DA KAD IDEMO U ŠTALU DA SE POČISTI JEBOTE UVIJEK MORAM U GOVNIMA VEĆ DVA DANA MUZEM,anger,anger,3.058381537,6.617725137,train,cres_v2.1/audio_files_16000/231.wav,anger
121,122,m,adult,31,acted,A I ZVONIK MI SAZIDAJTE DA SE LIPO MOGU BACIT S NJEGA,anger,anger,2.300287563,6.942360671,train,cres_v2.1/audio_files_16000/122.wav,anger
